Co_ID,Exchange,Name,"Root
FIR0023,TSX,First Quantum Minerals Ltd.,FM," 5,625,458,851 "," 689,394,467 ", Mining ,,TSXV Grad,20000111,BC,Canada,,,,1,,60,,,,,C,,," 489,366,028 "," 6,074,933,595 "," 1,464,622 ", 8 ,"Mauritania,Zambia",Australia,,,"Argentina,Panama,Peru",,"Finland,Spain,Turkey",,,1,,1,1,,,,,,1,,,,,,,,,Cobalt
FIS0001,TSX,Fission Uranium Corp.,FCU," 170,105,125 "," 486,014,642 ", Mining ,,TSXV Grad,20141008,BC,Canada,,,OTCQX,1,,,,,,,C,,," 53,360,333 "," 25,169,197 "," 19,833 ", 8 ,,,SK,,,,,,,,,,,,,,,,,,,,1,,,,1,
FOR0019,TSX,Forsys Metals Corp.,FSY," 34,517,883 "," 156,899,467 ", Mining ,,TSXV Grad,20061017,ON,Canada,,,,1,,,,,,,C,,," 6,645,550 "," 1,298,642 "," 1,979 ", 8 ,Namibia,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,
FOR0023,TSX,Fortuna Silver Mines Inc.,FVI," 881,598,157 "," 160,290,574 ", Mining ,,TSXV Grad,20100118,Peru,Latin America,NYSE,,,1,,,,,,,C,,," 115,679,790 "," 510,313,760 "," 317,327 ", 8 ,,,,,"Argentina, Mexico,Peru",,Serbia,,,1,1,,,,,,,1,1,,,,,,,,,
FOR0013,TSX,Fortune Minerals Limited,FT," 29,520,774 "," 347,303,220 ", Mining ,,,19971031,ON,Canada,,,OTCQX,,,,,,,,C,,," 30,957,106 "," 3,407,543 "," 4,309 ", 8 ,,,"BC,NWT,SK",,,,,,,1,1,1,,,,,,,,,,,,1,,,1,"Bismuth,Cobalt"
FRA0009,TSX,Franco-Nevada Corporation,FNV," 24,349,823,576 "," 187,219,926 ", Mining ,,IPO,20071219,ON,Canada,NYSE,,,,,60,,,,,C,,," 86,726,297 "," 9,131,564,948 "," 651,217 ", 8 ,South Africa,Australia,,,"Mexico, Peru",,,NV,,1,,,,,,1,,,,,,,,,,1,,Royalty Streaming
INT0028,TSX,Freegold Ventures Limited,FVL," 15,116,312 "," 188,953,906 ", Mining ,,,19980519,BC,Canada,,,,,,,,,,,C,,," 11,938,565 "," 769,153 ", 717 , 8 ,,,,,,,,AK,,1,,1,,,,,,,,,,,,,,,,
GEN0030,TSX,General Moly Inc.,GMO," 30,079,719 "," 120,318,877 ", Mining ,,Other,20080214,USA,USA,NYSE MKT,,,,,,Lakewood,CO,,,U,,," 440,954 "," 172,873 ", 690 , 8 ,,,,,,,,NV,,,1,1,,,1,,,,1,,,,,,,,,
V-00155,TSX,Global Atomic Corporation,GLO," 69,875,322 "," 142,602,698 ", Mining ,,TSXV Grad,20190508,ON,Canada,,,,1,,,,,,,C,,," 9,548,856 "," 4,617,708 "," 2,320 ", 4 ,Niger,,,,,,Turkey,,,,,,,,,,,,1,,,,1,,,,,Royalty Streaming
GLO0015,TSX,Globex Mining Enterprises Inc.,GMX," 20,947,023 "," 54,407,852 ", Mining ,,,19951227,Quebec,Canada,,,OTCQX,,,,,,,,C,,," 5,553,732 "," 1,838,204 "," 1,974 ", 8 ,,,"NB,NS,ON,Quebec",,,,Germany,WA,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,"Graphite,Niobium,Manganese,Royalty Streaming"
GOG0001,TSX,GoGold Resources Inc.,GGD," 137,416,861 "," 185,698,461 ", Mining ,,TSXV Grad,20130122,NS,Canada,,,,1,1,,,,,,C,,," 27,644,967 "," 10,887,756 "," 7,815 ", 8 ,,,,,Mexico,,,,,1,1,,,,,,,,,,,,,,,,,
GOL0069,TSX,Gold Standard Ventures Corp.,GSV," 374,345,396 "," 277,292,886 ", Mining ,,TSXV Grad,20171011,BC,Canada,NYSE MKT,,,1,,,,,,,C,,," 24,148,170 "," 33,621,377 "," 42,466 ", 8 ,,,,,,,,NV,,1,,,,,,,,,,,,,,,,,,
GOL0062,TSX,Golden Minerals Company,AUMN," 38,123,020 "," 105,897,279 ", Mining ,,Other,20090716,USA,USA,NYSE MKT,,,,,,Golden,CO,,,U,,," 2,739,243 "," 981,799 "," 3,355 ", 8 ,,,,,"Argentina,Mexico",,,,,1,1,,,,,,,,,,,,,,,1,,
GOL0030,TSX,Golden Star Resources Ltd.,GSC," 443,088,735 "," 108,867,011 ", Mining ,,,19870727,USA,USA,NYSE MKT,,,,,,Littleton,CO,,,C,,," 10,474,879 "," 51,198,969 "," 70,163 ", 8 ,Ghana,,,,,,,,,1,,,,,,,,,,,,,,,,,,
SIE0004,TSX,Goldgroup Mining Inc.,GGA," 7,405,468 "," 185,136,689 ", Mining ,,TSXV Grad,20060926,ON,Canada,,,,1,,,,,,,C,,," 7,598,510 "," 406,401 ", 698 , 8 ,,,,,Mexico,,,,,1,,,,,,,,,,,,,,,,,,
GOL0070,TSX,Goldmining Inc.,GOLD," 176,763,795 "," 138,096,715 ", Mining ,,TSXV Grad,20180619,BC,Canada,,,OTCQX,1,,,,,,,C,,," 26,944,936 "," 27,002,250 "," 19,006 ", 8 ,,,YT,,"Brazil, Colombia, Peru",,,AK,,1,,1,,,,,,,,,,,1,,,,,
GRA0022,TSX,Gran Colombia Gold Corp.,GCM," 348,795,629 "," 49,741,553 ", Mining ,,TSXV Grad,20101222,Colombia,Latin America,,,,1,,,,,,,C,,," 34,813,995 "," 148,630,416 "," 106,823 ", 8 ,,,,,Colombia,,,,,1,1,,,,,,,,,,,,,,,,,
GRE0038,TSX,Great Panther Mining Limited,GPR," 331,764,609 "," 301,604,190 ", Mining ,,TSXV Grad,20061114,BC,Canada,NYSE MKT,,,1,,,,,,,C,,," 34,989,869 "," 38,924,886 "," 54,904 ", 8 ,,,,,"Mexico,Peru",,,,,1,1,,,,,,,1,1,,,,,,,1,,
GUY0003,TSX,Guyana Goldfields Inc.,GUY," 193,766,244 "," 174,564,184 ", Mining ,,TSXV Grad,20040308,ON,Canada,,,,1,,,,,,,C,,," 117,251,233 "," 140,532,442 "," 113,758 ", 8 ,,,,,Guyana,,,,,1,,,,,,,,,,,,,,,,,,
HAR0026,TSX,Harte Gold Corp.,HRT," 172,305,143 "," 604,579,450 ", Mining ,,TSXV Grad,20110606,ON,Canada,,,,1,,,,,,,C,,," 87,703,254 "," 26,853,395 "," 14,125 ", 8 ,,,ON,,,,,,,1,,,,,,,,,,,,,,,,,,
HOR0079,TSX,Horizonte Minerals Plc,HZM," 115,710,183 "," 1,446,377,287 ", Mining ,,Other,20110617,UK,UK/Europe,AIM,,,,,,,,,,F,,," 14,145,214 "," 558,033 ", 431 , 8 ,,,,,Brazil,,,,,,,,1,,,,,,,,,,,,,,,Cobalt
HUD0003,TSX,HudBay Minerals Inc.,HBM," 1,167,886,515 "," 261,272,151 ", Mining ,,TSXV Grad,20041224,ON,Canada,NYSE,Lima (BVL),,1,,1,,,,,C,,," 213,714,785 "," 1,594,162,716 "," 627,044 ", 8 ,,,MB,,Peru,,,AZ,,1,1,1,,,1,,,,1,,,,,,,1,,
IAM0001,TSX,IAMGold Corporation,IMG," 2,325,875,107 "," 467,982,919 ", Mining ,,,19960308,ON,Canada,NYSE,,,,,1,,,,,C,,," 328,469,684 "," 1,433,988,390 "," 477,976 ", 8 ,"Burkina Faso,Mali,Senegal",,"ON,Quebec",,"Brazil,Peru,Suriname",,,,,1,,,,,,,,,,,,,,,,,,
IMP0004,TSX,Imperial Metals Corporation,III," 326,365,042 "," 128,490,174 ", Mining ,,,19841227,BC,Canada,,,,,,,,,,,C,,," 7,613,003 "," 20,142,008 "," 15,796 ", 8 ,,,BC,,,,,,,1,1,1,,,1,,,1,1,,,,,,,1,,
INT0123,TSX,International Tower Hill Mines Ltd.,ITH," 142,555,990 "," 187,573,671 ", Mining ,,TSXV Grad,20091201,USA,USA,NYSE MKT,,,1,,,Englewood,CO,,,C,,," 2,144,429 "," 1,622,381 "," 1,994 ", 8 ,,,,,,,,AK,,1,,,,,,,,,,,,,,,,,,
INT0117,TSX,INV Metals Inc.,INV," 30,648,857 "," 97,297,960 ", Mining ,,IPO,20060316,ON,Canada,,,,,,,,,,,C,,," 5,566,711 "," 2,868,872 "," 2,191 ", 8 ,Namibia,,,,Ecuador,,,,,1,1,1,1,,,,,,,,,,,,,,,
IVA0003,TSX,Ivanhoe Mines Ltd.,IVN," 4,432,110,936 "," 1,191,427,671 ", Mining ,,IPO,20121023,BC,Canada,,,OTCQX,,,1,,,,,C,,," 148,999,556 "," 510,122,915 "," 274,826 ", 8 ,"DRC (Congo),Gabon,South Africa",,,,,,,,,1,,1,1,,,1,,,1,,,,,,,,,
JAG0003,TSX,Jaguar Mining Inc.,JAG," 187,920,070 "," 722,769,500 ", Mining ,,TSXV Grad,20160803,ON,Canada,,,,1,,,,,,,C,,," 48,786,743 "," 8,435,720 "," 8,052 ", 8 ,,,,,Brazil,,,,,1,,,,,,,,,,,,,,,,,,
INT0024,TSX,Josemaria Resources Inc.,JOSE," 189,686,391 "," 249,587,357 ", Mining ,,,19940714,BC,Canada,Nasdaq Nordic,,,,,,,,,,C,,," 8,714,288 "," 9,002,133 "," 3,806 ", 8 ,,,,,"Argentina,Chile",,,,,1,,1,,,,,,,,,,,,,,,,
KAR0003,TSX,Karnalyte Resources Inc.,KRN," 8,434,969 "," 42,174,847 ", Mining ,Agriculture,IPO,20101214,AB,Canada,,,,,,,,,,,C,,," 2,457,527 "," 545,107 "," 1,026 ", 8 ,,,SK,,,,,,,,,,,,,,,,,,1,,,,,,,Magnesium
KAT0001,TSX,Katanga Mining Limited,KAT," 724,804,557 "," 1,907,380,413 ", Mining ,,TSXV Grad,20060628,UK,UK/Europe,,,,1,,,,,,,C,,," 30,251,878 "," 14,601,771 "," 13,253 ", 8 ,DRC (Congo),,,,,,,,,,,1,,,,,,,,,,,,,,,,Cobalt
ARM0008,TSX,Kerr Mines Inc.,KER," 61,841,726 "," 281,098,754 ", Mining ,,Other,20060818,ON,Canada,,,,,,,,,,,C,,," 25,697,573 "," 4,635,835 "," 4,065 ", 8 ,,,ON,,,,,AZ,,1,,1,,,,,,,,,,,,,,,1,
KIN0008,TSX,Kinross Gold Corporation,K," 8,291,819,421 "," 1,252,540,698 ", Mining ,,,19830726,ON,Canada,NYSE,,,,,60,,,,,C,,," 639,497,157 "," 3,156,239,863 "," 725,558 ", 8 ,"Ghana,Mauritania",,,,"Brazil,Chile",Russia,,"AK,NV,WA",,1,,,,,,,,,,,,,,,,,,
FRA0001,TSX,Kirkland Lake Gold Ltd.,KL," 13,607,636,313 "," 210,189,007 ", Mining ,,Other,19941109,ON,Canada,NYSE,ASX,,,,1,,,,,C,,," 171,165,674 "," 8,232,182,508 "," 1,114,567 ", 8 ,,Australia,ON,,,,,,,1,,,,,,,,,,,,,,,,,,
LAB0003,TSX,Labrador Iron Ore Royalty Corporation,LIF," 1,666,560,000 "," 64,000,000 ", Mining ,,IPO,19951128,ON,Canada,,,,,,1,,,,,C,,," 40,049,272 "," 1,219,978,807 "," 228,865 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAR0004,TSX,Laramide Resources Ltd.,LAM," 37,046,798 "," 142,487,683 ", Mining ,,TSXV Grad,20060808,ON,Canada,ASX,,,1,,,,,,,C,,," 30,782,147 "," 9,951,270 "," 12,040 ", 8 ,,Australia,,,,,,"NM,UT",,,,,,,,,,,,,,,1,,,,,
LAR0005,TSX,Largo Resources Ltd.,LGO," 728,714,538 "," 531,908,422 ", Mining ,,TSXV Grad,20160704,ON,Canada,,,OTCQB,1,,,,,,,C,,," 173,351,729 "," 354,595,934 "," 240,538 ", 8 ,,,YT,,Brazil,,,,,,,,,,,,1,,,,,,,,1,,1,"Titanium,Vanadium"
LEA0006,TSX,Leagold Mining Corporation,LMC," 846,110,184 "," 284,885,584 ", Mining ,,TSXV Grad,20170720,BC,Canada,,,OTCQX,1,,,,,,,C,,," 57,891,695 "," 123,190,409 "," 75,531 ", 8 ,,,,,"Brazil,Mexico",,,,,1,,,,,,,,,,,,,,,,,,
PIL0001,TSX,Liberty Gold Corp.,LGD," 133,017,659 "," 207,840,092 ", Mining ,,Other,20110411,BC,Canada,,,,,,,,,,,C,,," 35,945,195 "," 15,744,686 "," 11,677 ", 8 ,,,,,,,Turkey,"ID,NV,UT",,1,1,1,,,,,,,,,,,,,,,,
WES0066,TSX,Lithium Americas Corp.,LAC," 379,356,813 "," 89,050,895 ", Mining ,,TSXV Grad,20110202,BC,Canada,NYSE,,,1,,,,,,,C,,," 21,629,954 "," 110,044,613 "," 102,135 ", 8 ,,,,,Argentina,,,NV,,,,,,,,,,,,,,1,,,,,,
LON0010,TSX,Loncor Resources Inc.,LN," 29,045,408 "," 187,389,732 ", Mining ,,TSXV Grad,20130426,ON,Canada,,,,1,,,,,,,C,,," 7,447,614 "," 649,726 ", 618 , 8 ,DRC (Congo),,,,,,,,,1,,,,,,,,,,,,,,,,,,
LUC0004,TSX,Lucara Diamond Corp.,LUC," 412,732,495 "," 396,858,168 ", Mining ,,TSXV Grad,20110829,BC,Canada,Nasdaq Nordic,,,1,,,,,,,C,,," 56,798,541 "," 89,885,459 "," 76,531 ", 8 ,Botswana,,,,,,,,,,,,,1,,,,,,,,,,,,,,
LUN0005,TSX,Lundin Gold Inc.,LUG," 1,857,225,996 "," 222,956,302 ", Mining ,,TSXV Grad,20141219,BC,Canada,Nasdaq Nordic,,,1,,,,,,,C,,," 19,725,743 "," 130,592,051 "," 70,649 ", 8 ,,,,,Ecuador,,,,,1,,,,,,,,,,,,,,,,,,
LUN0002,TSX,Lundin Mining Corporation,LUN," 4,671,303,777 "," 735,638,390 ", Mining ,,TSXV Grad,20040812,ON,Canada,Nasdaq Nordic,,,1,,1,,,,,C,,," 394,782,758 "," 2,559,586,671 "," 942,612 ", 8 ,,,,,Chile,,"Finland,Portugal,Sweden",MI,,,,1,1,,,,,,1,,,,,,,,,Cobalt
LYD0001,TSX,Lydian International Limited,LYD," 72,201,617 "," 760,017,021 ", Mining ,,TSXV Grad,20080110,Channel Islands,UK/Europe,,,,1,1,,,,,,F,,," 84,031,858 "," 12,390,703 "," 12,760 ", 8 ,,,,,,"Armenia,Georgia",,,,1,1,,,,,,,,,,,,,,,,,
MAG0012,TSX,MAG Silver Corp.,MAG," 1,467,672,689 "," 86,384,502 ", Mining ,,TSXV Grad,20071005,BC,Canada,NYSE MKT,,,1,,1,,,,,C,,," 34,480,046 "," 479,590,593 "," 243,321 ", 8 ,,,,,Mexico,,,,,1,1,,,,,,,1,1,,,,,,,,,Molybdenum
MAN0019,TSX,Mandalay Resources Corporation,MND," 111,990,790 "," 91,049,423 ", Mining ,,TSXV Grad,20100625,ON,Canada,,,,1,,,,,,,C,,," 61,659,602 "," 13,472,175 "," 18,593 ", 8 ,,Australia,,,Chile,,Sweden,,,1,1,,,,,,,,,,,,,,,,,Antimony
MAR0033,TSX,Marathon Gold Corporation,MOZ," 223,409,859 "," 161,891,202 ", Mining ,,Other,20101203,ON,Canada,,,,,,,,,,,C,,," 32,937,985 "," 36,245,613 "," 18,680 ", 8 ,,,NL,,,,,ID,,1,,,,,,,,,,,,,,,,,,
V-04009,TSX,Maverix Metals Inc.,MMX," 722,174,408 "," 107,948,342 ", Mining ,,TSXV Grad,20190625,BC,Canada,NYSE MKT,,,1,,,,,,,C,,," 1,300,283 "," 8,084,220 "," 4,141 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royalty Streaming
MAW0001,TSX,Mawson Resources Limited,MAW," 25,630,487 "," 142,391,593 ", Mining ,,TSXV Grad,20080212,BC,Canada,,,,1,,,,,,,C,,," 5,831,094 "," 1,162,439 "," 1,103 ", 8 ,,,,,,,"Finland,Sweden",,,1,,,,,,,,,,,,,,,,,,Cobalt
MAY0003,TSX,Maya Gold & Silver Inc.,MYA," 157,720,217 "," 79,656,675 ", Mining ,,TSXV Grad,20180731,Quebec,Canada,,,,1,,,,,,,C,,," 3,124,377 "," 6,507,077 "," 8,397 ", 8 ,Morocco,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
USG0001,TSX,McEwen Mining Inc.,MUX," 984,524,006 "," 361,957,355 ", Mining ,,Other,20060830,ON,Canada,NYSE,,,,,,,,,,U,,," 48,536,083 "," 110,206,108 "," 84,593 ", 8 ,,,ON,,"Argentina,Mexico",,,NV,,1,1,1,,,,,,,,,,,,,,,,
MEG0005,TSX,Mega Uranium Ltd.,MGA," 31,007,154 "," 326,391,094 ", Mining ,,TSXV Grad,20060906,ON,Canada,,,,1,,,,,,,C,,," 38,938,656 "," 3,996,062 "," 3,565 ", 8 ,,Australia,,,,,,,,,,,,,,,,,,,,,1,,,,,
MID0012,TSX,Midas Gold Corp.,MAX," 208,270,965 "," 270,481,773 ", Mining ,,IPO,20110714,BC,Canada,,,OTCQX,,,,,,,,C,,," 28,191,989 "," 22,551,586 "," 16,287 ", 8 ,,,,,,,,ID,,1,,,,,,,,,,,,,,,,,,
MIN0027,TSX,Minco Silver Corporation,MSV," 51,599,036 "," 60,704,748 ", Mining ,,IPO,20051201,China,Asia,,,OTCQX,,,,,,Beijing,,C,,," 4,386,753 "," 2,762,099 "," 3,488 ", 8 ,,,,China,,,,,,,1,,,,,,,,,,,,,,,,,
MON0020,TSX,Monarch Gold Corporation,MQR," 65,280,280 "," 261,121,119 ", Mining ,,TSXV Grad,20181115,Quebec,Canada,,,,1,,,,,,,C,,," 18,173,373 "," 4,371,391 "," 4,026 ", 8 ,,,Quebec,,,,,,,1,,,,,,,,,,,,,,,,,,
MON0004,TSX,Moneta Porcupine Mines Inc.,ME," 33,469,028 "," 291,035,027 ", Mining ,,,19110701,ON,Canada,,,,,,,,,,,C,,," 28,945,928 "," 3,268,320 "," 3,112 ", 8 ,,,ON,,,,,,,1,,,,,,,,,,,,,,,,,,
MOU0003,TSX,Mountain Province Diamonds Inc.,MPVD," 218,542,974 "," 210,137,475 ", Mining ,,,19990122,ON,Canada,NasdaqGM,,,,,,,,,,C,,," 37,986,823 "," 49,813,849 "," 47,325 ", 8 ,,,NWT,,,,,,,,,,,1,,,,,,,,,,,,,,
NEM0002,TSX,Nemaska Lithium Inc.,NMX," 216,146,756 "," 847,634,338 ", Mining ,,TSXV Grad,20160708,Quebec,Canada,,,OTCQX,1,,,,,,,C,,," 362,983,031 "," 127,777,514 "," 75,757 ", 8 ,,,Quebec,,,,,,,,,,,,,,,,,,,1,,,,,,
NEV0006,TSX,Nevada Copper Corp.,NCU," 224,771,090 "," 761,935,897 ", Mining ,,TSXV Grad,20070816,BC,Canada,,,,1,1,,,,,,C,,," 28,736,045 "," 11,136,537 "," 6,474 ", 8 ,,,,,,,,NV,,,,1,,,,,,,,,,,,,,,,
DRC0001,TSX,New Gold Inc.,NGD," 1,002,569,284 "," 672,865,291 ", Mining ,,TSXV Grad,20021231,BC,Canada,NYSE MKT,,,1,,,,,,,C,,," 282,309,936 "," 380,307,151 "," 242,775 ", 8 ,,Australia,BC,,Mexico,,,AZ,,1,1,,,,,,,,,,,,,,,,,
NEW0055,TSX,New Millennium Iron Corp.,NML," 11,768,519 "," 181,054,146 ", Mining ,,TSXV Grad,20111019,AB,Canada,,,,1,1,,,,,,C,,," 28,165,353 "," 2,201,548 "," 2,450 ", 8 ,,,"NL,Quebec",,,,,,,,,,,,,,1,,,,,,,,,,,
FRA0004,TSX,Newmont Goldcorp Corporation,NGT," 43,543,784,423 "," 822,667,380 ", Mining ,,Other,20190422,USA,USA,NYSE,,,,,,Greenwood Village,CO,,,U,,," 14,653,299 "," 703,208,232 "," 111,779 ", 5 ,Ghana,Australia,"NU, ON, Quebec",,"Argentina, Dominican Republic, Mexico,Peru, Suriname",,,"CO, NV",,1,1,1,,,,,,,,,,,,,,,,
NEX0010,TSX,Nexa Resources S.A.,NEXA," 1,627,670,529 "," 132,438,611 ", Mining ,,IPO,20171031,Brazil,Latin America,NYSE,,,,,,,,,,F,,," 320,457 "," 4,334,932 "," 2,291 ", 8 ,,,,,"Brazil, Peru",,,,,1,1,1,,,,,,1,1,,,,,,,,,
NEX0009,TSX,NexGen Energy Ltd.,NXE," 619,025,356 "," 355,761,699 ", Mining ,,TSXV Grad,20160715,BC,Canada,NYSE MKT,,,1,1,1,,,,,C,,," 139,229,492 "," 305,202,650 "," 174,203 ", 8 ,,,SK,,,,,,,,,,,,,,,,,,,,1,,,,,
ENE0022,TSX,NextSource Materials Inc.,NEXT," 32,982,106 "," 507,417,021 ", Mining ,,TSXV Grad,20110616,ON,Canada,,,OTCQB,1,,,,,,,C,,," 63,219,096 "," 6,513,093 "," 4,234 ", 8 ,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graphite, Vanadium"
WEL0006,TSX,Nickel Creek Platinum Corp.,NCP," 22,075,200 "," 259,708,231 ", Mining ,,TSXV Grad,20141204,ON,Canada,,,OTCQX,1,1,,,,,,C,,," 24,310,761 "," 1,427,958 "," 2,225 ", 8 ,,,YT,,,,,,,,,1,1,,,1,,,,,,,,,,,,
NIG0001,TSX,Nighthawk Gold Corp.,NHK," 150,957,277 "," 221,995,996 ", Mining ,,TSXV Grad,20170529,ON,Canada,,,OTCQX,1,,,,,,,C,,," 45,865,778 "," 19,955,748 "," 9,418 ", 8 ,,,NWT,,,,,,,1,,,,,,,,,,,,,,,,,,
NIO0002,TSX,NioCorp Developments Ltd.,NB," 121,405,393 "," 233,471,910 ", Mining ,,TSXV Grad,20150309,USA,USA,,,OTCQX,1,,,Centennial,CO,,,C,,," 12,164,019 "," 7,036,535 "," 9,730 ", 8 ,,,,,,,,NE,,,,,,,,,,,,,,,,,,,,"Niobium,Scandium"
NOR0063,TSX,Noranda Income Fund,NIF," 60,358,860 "," 37,489,975 ", Mining ,,IPO,20020502,ON,Canada,,,,,,,,,,,C,Income Trust,Business Trust," 14,806,337 "," 35,747,722 "," 20,756 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR0001,TSX,North American Palladium Ltd.,PDL," 927,330,740 "," 58,840,783 ", Mining ,,Other,19681219,ON,Canada,,,,,,,,,,,C,,," 20,173,104 "," 291,072,606 "," 93,140 ", 8 ,,,"ON,Quebec",,,,,,,,,1,1,,,1,,,,,,,,,,,,
NOR0082,TSX,Northcliff Resources Ltd.,NCF," 10,425,374 "," 173,756,229 ", Mining ,,TSXV Grad,20120202,BC,Canada,,,,1,1,,,,,,C,,," 4,420,457 "," 334,626 ", 548 , 8 ,,,NB,,,,,,,,,,,,1,,,,,,,,,,1,,1,
